process,process description,parameter,value,unit,description,
 , ,DMCFAlg27,2.50000,(gDM/gC),DM:C ratio algae type 27
 , ,DMCFAlg28,2.50000,(gDM/gC),DM:C ratio algae type 28
 , ,DMCFAlg29,2.50000,(gDM/gC),DM:C ratio algae type 29
 , ,DMCFAlg30,2.50000,(gDM/gC),DM:C ratio algae type 30
 , ,CHLACMDI_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMDI_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMDI_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_N,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_P,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_N,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_P,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_N,0.125000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_P,0.125000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg19,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg20,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg21,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg22,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg23,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg24,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg25,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg26,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg27,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg28,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg29,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg30,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,XNCRMDI_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 01
 , ,XNCRMDI_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 02
 , ,XNCRMDI_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 03
 , ,XNCRMFL_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 04
 , ,XNCRMFL_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 05
 , ,XNCRMFL_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 06
 , ,XNCRDIN_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 07
 , ,XNCRDIN_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 08
 , ,XNCRDIN_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 09
 , ,XNCRPHA_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 10
 , ,XNCRPHA_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 11
 , ,XNCRPHA_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 12
 , ,XNCRULS_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 13
 , ,XNCRULS_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 14
 , ,XNCRULS_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 15
 , ,XNCRULF_E,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 16
 , ,XNCRULF_N,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 17
 , ,XNCRULF_P,-1.00000,NOUNIT,N:C ratio for heterotrophic algae type 18
 , ,XNCRAlg19,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 19
 , ,XNCRAlg20,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 20
 , ,XNCRAlg21,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 21
 , ,XNCRAlg22,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 22
 , ,XNCRAlg23,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 23
 , ,XNCRAlg24,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 24
 , ,XNCRAlg25,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 25
 , ,XNCRAlg26,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 26
 , ,XNCRAlg27,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 27
 , ,XNCRAlg28,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 28
 , ,XNCRAlg29,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 29
 , ,XNCRAlg30,-1.00000,(gN/gC),N:C ratio for heterotrophic algae type 30
 , ,XPCRMDI_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 01
 , ,XPCRMDI_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 02
 , ,XPCRMDI_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 03
 , ,XPCRMFL_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 04
 , ,XPCRMFL_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 05
 , ,XPCRMFL_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 06
 , ,XPCRDIN_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 07
 , ,XPCRDIN_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 08
 , ,XPCRDIN_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 09
 , ,XPCRPHA_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 10
 , ,XPCRPHA_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 11
 , ,XPCRPHA_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 12
 , ,XPCRULS_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 13
 , ,XPCRULS_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 14
 , ,XPCRULS_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 15
 , ,XPCRULF_E,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 16
 , ,XPCRULF_N,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 17
 , ,XPCRULF_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 18
 , ,XPCRAlg19,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 19
 , ,XPCRAlg20,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 20
 , ,XPCRAlg21,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 21
 , ,XPCRAlg22,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 22
 , ,XPCRAlg23,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 23
 , ,XPCRAlg24,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 24
 , ,XPCRAlg25,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 25
 , ,XPCRAlg26,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 26
 , ,XPCRAlg27,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 27
 , ,XPCRAlg28,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 28
 , ,XPCRAlg29,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 29
 , ,XPCRAlg30,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 30
 , ,FNCRMDI_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 01
 , ,FNCRMDI_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 02
 , ,FNCRMDI_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 03
 , ,FNCRMFL_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 04
 , ,FNCRMFL_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 05
 , ,FNCRMFL_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 06
 , ,FNCRDIN_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 07
 , ,FNCRDIN_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 08
 , ,FNCRDIN_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 09
 , ,FNCRPHA_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 10
 , ,FNCRPHA_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 11
 , ,FNCRPHA_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 12
 , ,FNCRULS_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 13
 , ,FNCRULS_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 14
 , ,FNCRULS_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 15
 , ,FNCRULF_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 16
 , ,FNCRULF_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 17
 , ,FNCRULF_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 18
 , ,FNCRAlg19,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 19
 , ,FNCRAlg20,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 20
 , ,FNCRAlg21,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 21
 , ,FNCRAlg22,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 22
 , ,FNCRAlg23,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 23
 , ,FNCRAlg24,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 24
 , ,FNCRAlg25,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 25
 , ,FNCRAlg26,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 26
 , ,FNCRAlg27,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 27
 , ,FNCRAlg28,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 28
 , ,FNCRAlg29,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 29
 , ,FNCRAlg30,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 30
 , ,FixMDI_E,0.00000,NOUNIT,algae type 01 fixed (0=not app>0=sus<0=fixed)
 , ,FixMDI_N,0.00000,NOUNIT,algae type 02 fixed (0=not app>0=sus<0=fixed)
 , ,FixMDI_P,0.00000,NOUNIT,algae type 03 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_E,0.00000,NOUNIT,algae type 04 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_N,0.00000,NOUNIT,algae type 05 fixed (0=not app>0=sus<0=fixed)
 , ,FixMFL_P,0.00000,NOUNIT,algae type 06 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_E,0.00000,NOUNIT,algae type 07 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_N,0.00000,NOUNIT,algae type 08 fixed (0=not app>0=sus<0=fixed)
 , ,FixDIN_P,0.00000,NOUNIT,algae type 09 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_E,0.00000,NOUNIT,algae type 10 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_N,0.00000,NOUNIT,algae type 11 fixed (0=not app>0=sus<0=fixed)
 , ,FixPHA_P,0.00000,NOUNIT,algae type 12 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_E,1.00000,NOUNIT,algae type 13 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_N,2.00000,NOUNIT,algae type 14 fixed (0=not app>0=sus<0=fixed)
 , ,FixULS_P,3.00000,NOUNIT,algae type 15 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_E,-1.00000,NOUNIT,algae type 16 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_N,-2.00000,NOUNIT,algae type 17 fixed (0=not app>0=sus<0=fixed)
 , ,FixULF_P,-3.00000,NOUNIT,algae type 18 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg19,0.00000,(-),algae type 19 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg20,0.00000,(-),algae type 20 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg21,0.00000,(-),algae type 21 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg22,0.00000,(-),algae type 22 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg23,0.00000,(-),algae type 23 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg24,0.00000,(-),algae type 24 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg25,0.00000,(-),algae type 25 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg26,0.00000,(-),algae type 26 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg27,0.00000,(-),algae type 27 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg28,0.00000,(-),algae type 28 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg29,0.00000,(-),algae type 29 fixed (0=not app>0=sus<0=fixed)
 , ,FixAlg30,0.00000,(-),algae type 30 fixed (0=not app>0=sus<0=fixed)
BLOOM,BLOOM II algae module,TimMultBl,Using function nr  3,(-),ratio bloom/delwaq time step
 , ,ExtVl,Using output from proces [Extinc_VLG          ],(1/m),total extinction coefficient visible light
 , ,ExtVlPhyt,Using output from proces [EXTINABVL           ],(1/m),VL extinction by phytoplankton
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,Rad,Using output from proces [CalcRad             ],(W/m2),irradiation at the segment upper-boundary
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,BloomDepth,Using output from proces [DepAve              ],(m),average depth over Bloom time step
 , ,DayL,Using output from proces [Daylength           ],(d),daylength <0-1>
 , ,NH4,Using substance nr   9,(gN/m3),Ammonium (NH4)
 , ,NO3,Using substance nr  10,(gN/m3),Nitrate (NO3)
 , ,PO4,Using substance nr  11,(gP/m3),Ortho-Phosphate (PO4)
 , ,Si,Using substance nr  12,(gSi/m3),dissolved Silica (Si)
 , ,ThrAlgNH4,0.00000,(gN/m3),threshold concentration uptake ammonium
 , ,ThrAlgNO3,0.00000,(gN/m3),threshold concentration uptake nitrate
 , ,ThrAlgPO4,0.00000,(gP/m3),threshold concentration uptake phosphate
 , ,ThrAlgSi,0.00000,(gSi/m3),threshold concentration uptake silicium
 , ,PON1,Using substance nr   6,,PON1 (fast decomposing fraction)
 , ,POP1,Using substance nr   7,,POP1 (fast decomposing fraction)
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,SWBloomOut,0.00000,(-),switch on BLOOM output (0=no1=yes)
 , ,SWOxyProd,0.00000,(-),switch on oxygen prod. (0=BLOOM 1=VAROXY)
 , ,Cl,Using output from proces [Salinchlor          ],(g/m3),Chloride
 , ,Volume,Using DELWAQ volume,(m3),volume of computational cell
 , ,SwVTRANS,Using output from proces [vtrans              ],(-),switch effect of vertical mixing on light
 , ,TIC,0.00000,(gC/m3),total inorganic carbonate
 , ,CO2,0.00000,(g/m3),CO2
 , ,SWTICdummy,0.00000,(-),dummy option for TIC do not change value
 , ,SWCLim,0.00000,(-),Switch for C limitation (0=inactive 1=active)
 , ,SWBloomSA,0.00000,(-),switch for BLOOM stand alone (0=no 1=yes)
 , ,TotNBLSA,0.00000,(g/m3),Total nitrogen for BLOOM stand alone
 , ,TotPBLSA,0.00000,(g/m3),Total phosphorous for BLOOM stand alone
 , ,TotSiBLSA,0.00000,(g/m3),Total silicium for BLOOM stand alone
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,BLOOMALG19,-101.000,(gC/m3),concentration of algae type 19
 , ,BLOOMALG20,-101.000,(gC/m3),concentration of algae type 20
 , ,BLOOMALG21,-101.000,(gC/m3),concentration of algae type 21
 , ,BLOOMALG22,-101.000,(gC/m3),concentration of algae type 22
 , ,BLOOMALG23,-101.000,(gC/m3),concentration of algae type 23
 , ,BLOOMALG24,-101.000,(gC/m3),concentration of algae type 24
 , ,BLOOMALG25,-101.000,(gC/m3),concentration of algae type 25
 , ,BLOOMALG26,-101.000,(gC/m3),concentration of algae type 26
 , ,BLOOMALG27,-101.000,(gC/m3),concentration of algae type 27
 , ,BLOOMALG28,-101.000,(gC/m3),concentration of algae type 28
 , ,BLOOMALG29,-101.000,(gC/m3),concentration of algae type 29
 , ,BLOOMALG30,-101.000,(gC/m3),concentration of algae type 30
 , ,SpecAlg01,1.00000,(-),number of the group for algae type 01
 , ,SpecAlg02,1.00000,(-),number of the group for algae type 02
 , ,SpecAlg03,1.00000,(-),number of the group for algae type 03
 , ,SpecAlg04,2.00000,(-),number of the group for algae type 04
 , ,SpecAlg05,2.00000,(-),number of the group for algae type 05
 , ,SpecAlg06,2.00000,(-),number of the group for algae type 06
 , ,SpecAlg07,3.00000,(-),number of the group for algae type 07
 , ,SpecAlg08,3.00000,(-),number of the group for algae type 08
 , ,SpecAlg09,3.00000,(-),number of the group for algae type 09
 , ,SpecAlg10,4.00000,(-),number of the group for algae type 10
 , ,SpecAlg11,4.00000,(-),number of the group for algae type 11
 , ,SpecAlg12,4.00000,(-),number of the group for algae type 12
 , ,SpecAlg13,5.00000,(-),number of the group for algae type 13
 , ,SpecAlg14,5.00000,(-),number of the group for algae type 14
 , ,SpecAlg15,5.00000,(-),number of the group for algae type 15
 , ,SpecAlg16,6.00000,(-),number of the group for algae type 16
 , ,SpecAlg17,6.00000,(-),number of the group for algae type 17
 , ,SpecAlg18,6.00000,(-),number of the group for algae type 18
 , ,SpecAlg19,0.00000,(-),number of the group for algae type 19
 , ,SpecAlg20,0.00000,(-),number of the group for algae type 20
 , ,SpecAlg21,0.00000,(-),number of the group for algae type 21
 , ,SpecAlg22,0.00000,(-),number of the group for algae type 22
 , ,SpecAlg23,0.00000,(-),number of the group for algae type 23
 , ,SpecAlg24,0.00000,(-),number of the group for algae type 24
 , ,SpecAlg25,0.00000,(-),number of the group for algae type 25
 , ,SpecAlg26,0.00000,(-),number of the group for algae type 26
 , ,SpecAlg27,0.00000,(-),number of the group for algae type 27
 , ,SpecAlg28,0.00000,(-),number of the group for algae type 28
 , ,SpecAlg29,0.00000,(-),number of the group for algae type 29
 , ,SpecAlg30,0.00000,(-),number of the group for algae type 30
 , ,FrAutMDI_E,0.300000,NOUNIT,fraction autolysis algae type 01
 , ,FrAutMDI_N,0.300000,NOUNIT,fraction autolysis algae type 02
 , ,FrAutMDI_P,0.300000,NOUNIT,fraction autolysis algae type 03
 , ,FrAutMFL_E,0.300000,NOUNIT,fraction autolysis algae type 04
 , ,FrAutMFL_N,0.300000,NOUNIT,fraction autolysis algae type 05
 , ,FrAutMFL_P,0.300000,NOUNIT,fraction autolysis algae type 06
 , ,FrAutDIN_E,0.300000,NOUNIT,fraction autolysis algae type 07
 , ,FrAutDIN_N,0.300000,NOUNIT,fraction autolysis algae type 08
 , ,FrAutDIN_P,0.300000,NOUNIT,fraction autolysis algae type 09
 , ,FrAutPHA_E,0.300000,NOUNIT,fraction autolysis algae type 10
 , ,FrAutPHA_N,0.300000,NOUNIT,fraction autolysis algae type 11
 , ,FrAutPHA_P,0.300000,NOUNIT,fraction autolysis algae type 12
 , ,FrAutULS_E,0.300000,NOUNIT,fraction autolysis algae type 13
 , ,FrAutULS_N,0.300000,NOUNIT,fraction autolysis algae type 14
 , ,FrAutULS_P,0.300000,NOUNIT,fraction autolysis algae type 15
 , ,FrAutULF_E,0.300000,NOUNIT,fraction autolysis algae type 16
 , ,FrAutULF_N,0.300000,NOUNIT,fraction autolysis algae type 17
 , ,FrAutULF_P,0.300000,NOUNIT,fraction autolysis algae type 18
 , ,FrAutAlg19,0.350000,(-),fraction autolysis algae type 19
 , ,FrAutAlg20,0.350000,(-),fraction autolysis algae type 20
 , ,FrAutAlg21,0.350000,(-),fraction autolysis algae type 21
 , ,FrAutAlg22,0.350000,(-),fraction autolysis algae type 22
 , ,FrAutAlg23,0.350000,(-),fraction autolysis algae type 23
 , ,FrAutAlg24,0.350000,(-),fraction autolysis algae type 24
 , ,FrAutAlg25,0.350000,(-),fraction autolysis algae type 25
 , ,FrAutAlg26,0.350000,(-),fraction autolysis algae type 26
 , ,FrAutAlg27,0.350000,(-),fraction autolysis algae type 27
 , ,FrAutAlg28,0.350000,(-),fraction autolysis algae type 28
 , ,FrAutAlg29,0.350000,(-),fraction autolysis algae type 29
 , ,FrAutAlg30,0.350000,(-),fraction autolysis algae type 30
 , ,FrDetMDI_E,0.700000,NOUNIT,fraction detritus by mortality algae type 01
 , ,FrDetMDI_N,0.700000,NOUNIT,fraction detritus by mortality algae type 02
 , ,FrDetMDI_P,0.700000,NOUNIT,fraction detritus by mortality algae type 03
 , ,FrDetMFL_E,0.700000,NOUNIT,fraction detritus by mortality algae type 04
 , ,FrDetMFL_N,0.700000,NOUNIT,fraction detritus by mortality algae type 05
 , ,FrDetMFL_P,0.700000,NOUNIT,fraction detritus by mortality algae type 06
 , ,FrDetDIN_E,0.700000,NOUNIT,fraction detritus by mortality algae type 07
 , ,FrDetDIN_N,0.700000,NOUNIT,fraction detritus by mortality algae type 08
 , ,FrDetDIN_P,0.700000,NOUNIT,fraction detritus by mortality algae type 09
 , ,FrDetPHA_E,0.700000,NOUNIT,fraction detritus by mortality algae type 10
 , ,FrDetPHA_N,0.700000,NOUNIT,fraction detritus by mortality algae type 11
 , ,FrDetPHA_P,0.700000,NOUNIT,fraction detritus by mortality algae type 12
 , ,FrDetULS_E,0.700000,NOUNIT,fraction detritus by mortality algae type 13
 , ,FrDetULS_N,0.700000,NOUNIT,fraction detritus by mortality algae type 14
 , ,FrDetULS_P,0.700000,NOUNIT,fraction detritus by mortality algae type 15
 , ,FrDetULF_E,0.700000,NOUNIT,fraction detritus by mortality algae type 16
 , ,FrDetULF_N,0.700000,NOUNIT,fraction detritus by mortality algae type 17
 , ,FrDetULF_P,0.700000,NOUNIT,fraction detritus by mortality algae type 18
 , ,FrDetAlg19,0.650000,(-),fraction detritus by mortality algae type 19
 , ,FrDetAlg20,0.650000,(-),fraction detritus by mortality algae type 20
 , ,FrDetAlg21,0.650000,(-),fraction detritus by mortality algae type 21
 , ,FrDetAlg22,0.650000,(-),fraction detritus by mortality algae type 22
 , ,FrDetAlg23,0.650000,(-),fraction detritus by mortality algae type 23
 , ,FrDetAlg24,0.650000,(-),fraction detritus by mortality algae type 24
 , ,FrDetAlg25,0.650000,(-),fraction detritus by mortality algae type 25
 , ,FrDetAlg26,0.650000,(-),fraction detritus by mortality algae type 26
 , ,FrDetAlg27,0.650000,(-),fraction detritus by mortality algae type 27
 , ,FrDetAlg28,0.650000,(-),fraction detritus by mortality algae type 28
 , ,FrDetAlg29,0.650000,(-),fraction detritus by mortality algae type 29
 , ,FrDetAlg30,0.650000,(-),fraction detritus by mortality algae type 30
 , ,EXTVLMDI_E,0.240000,NOUNIT,VL specific extinction coefficient algae type 01
 , ,EXTVLMDI_N,0.210000,NOUNIT,VL specific extinction coefficient algae type 02
 , ,EXTVLMDI_P,0.210000,NOUNIT,VL specific extinction coefficient algae type 03
 , ,EXTVLMFL_E,0.250000,NOUNIT,VL specific extinction coefficient algae type 04
 , ,EXTVLMFL_N,0.225000,NOUNIT,VL specific extinction coefficient algae type 05
 , ,EXTVLMFL_P,0.225000,NOUNIT,VL specific extinction coefficient algae type 06
 , ,EXTVLDIN_E,0.200000,NOUNIT,VL specific extinction coefficient algae type 07
 , ,EXTVLDIN_N,0.175000,NOUNIT,VL specific extinction coefficient algae type 08
